acronym,num_occ,num_different_expansion
ZN,1,1
SCI,1,1
EPRCD,1,1
EV-D68,1,1
EEH,2,2
SIC,3,1
FHA,2,1
LAL,1,1
UMI,1,1
US,1,1
REGESMOHS,1,1
EB,1,1
IAM-CEST,1,1
Argentina,1,1
EPT,1,1
EOM,1,1
NUSFPS,1,1
OA,1,1
EVLD,1,1
ESNPCT,1,1
ERCO,1,1
TCA,3,2
EAT,1,1
PEAC,1,1
ERT,2,1
CES-D,1,1
ACG,1,1
NRS- 2002,1,1
EUA,1,1
CBM,1,1
MRP,1,1
TD,1,1
IAL,1,1
EED,1,1
C.A.V.,1,1
LB,1,1
ERIDA,2,1
SALVAR,1,1
ECA,1,1
Sintrom,1,1
PTG,1,1
TUS,3,2
SIRS,1,1
LTSV,1,1
P/T,1,1
EEB,1,1
NCV,1,1
AO,1,1
IAP,1,1
PEECU,1,1
HTVC,1,1
GBS,1,1
VG,1,1
HUM Mederi,1,1
MBI,1,1
NBI,2,1
APMP,1,1
CMV,1,1
PTUIP,1,1
TAC,1,1
IDCV,4,1
IRAG,1,1
SAT,1,1
BACOVA,1,1
RECCyL,1,1
TH,1,1
OT,2,1
BP,1,1
CBCL/1.5-5,1,1
PAM,1,1
SW,1,1
HB,1,1
VRS,2,2
SPA,1,1
VSR,1,1
ATPO,1,1
SIOP,1,1
GEVA,1,1
REVAC,1,1
ECNEI,1,1
IMC,3,1
TAD,1,1
TIR,1,1
TDR,1,1
MPVh,1,1
SMS,1,1
IFI,1,1
ASIS,1,1
LMA,1,1
Acari,2,2
HP,2,2
GGT,1,1
ER,1,1
GPC,1,1
EMBL,1,1
ST,1,1
DS,1,1
ENH,1,1
AM,3,1
TAB,1,1
WURS,1,1
SN,1,1
TCSS,1,1
SChS,1,1
HECMNSXXI,1,1
Chile,1,1
CCC,1,1
HNHU,1,1
AH,1,1
NCT,1,1
ICNND,1,1
Hb,1,1
SURPS,1,1
UCIN,2,1
PCRus,1,1
Zn,1,1
ASPB,1,1
ECI-4,1,1
AIC,1,1
EM,7,2
RDoC,1,1
PEPSI,1,1
LJ,1,1
NNIS,1,1
UMF,1,1
PRESENCIAP,1,1
VFD,1,1
EII,2,1
REV-7d,1,1
GesEPOC,1,1
FRV,1,1
SIER-CV,1,1
RETOSS,1,1
SWH,2,1
SIR,1,1
MCF,1,1
OI,1,1
ISPLN,1,1
AMS,1,1
PTH,1,1
PC,1,1
VHD,1,1
Ca,1,1
EUBE,1,1
SiDUP,1,1
BPM,1,1
ICA,7,1
GEMA,2,1
ENS,1,1
PE,1,1
TGR,1,1
Alb,1,1
SASM,1,1
SNPs,1,1
PTI,1,1
FRA,1,1
DERA,1,1
CIE-10,1,1
GPSIDA,1,1
CSP,1,1
GEMPP,0,1
pH1N1,1,1
Spain-RDR,1,1
BT,1,1
LLA,3,1
RCIU,1,1
SNSAF,1,1
CPV_2011,1,1
SGB,4,2
PANDA,1,1
EDO,4,1
DEH,1,1
MPMN,1,1
SF-LDQOL,1,1
MMSE,1,1
ENSA,3,1
CABA,1,1
LNH,1,1
SNE,1,1
EDAH,1,1
SS,1,1
BAC,1,1
IM,1,1
HCF,1,1
ASI-6,1,1
LCE,1,1
SEE,1,1
ELA,2,1
CAA,1,1
RNHMD,2,1
Plan AUGE,1,1
RNM,1,1
FESNAD,1,1
AFP,1,1
PCCM,1,1
DC,1,1
FCRS,1,1
CU,1,1
DF,1,1
EAT-40,1,1
LARCE,1,1
VPN,1,1
CIV,1,1
EVB,1,1
Pap,1,1
EG,2,1
EN,1,1
LES,1,1
HSC,1,1
LEI,1,1
PNA,1,1
SII,1,1
ADH,1,1
UO,1,1
TAS,1,1
